Library,Signal structure,Target oracle AUROC,Metric,Winning model,Winner count,"Winner proportion, %"
Heterogeneous core,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),Decision tree,175,17.5
Heterogeneous core,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),Gaussian naive Bayes,142,14.2
Heterogeneous core,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),Histogram gradient boosting,192,19.2
Heterogeneous core,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),Linear SVM,65,6.5
Heterogeneous core,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),Logistic regression,76,7.6
Heterogeneous core,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),Random forest,167,16.7
Heterogeneous core,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),RBF SVM,183,18.3
Heterogeneous core,Single linear signal,0.5,AUROC,Decision tree,213,21.3
Heterogeneous core,Single linear signal,0.5,AUROC,Gaussian naive Bayes,157,15.7
Heterogeneous core,Single linear signal,0.5,AUROC,Histogram gradient boosting,177,17.7
Heterogeneous core,Single linear signal,0.5,AUROC,Linear SVM,63,6.3
Heterogeneous core,Single linear signal,0.5,AUROC,Logistic regression,62,6.2
Heterogeneous core,Single linear signal,0.5,AUROC,Random forest,155,15.5
Heterogeneous core,Single linear signal,0.5,AUROC,RBF SVM,173,17.3
Heterogeneous core,Single linear signal,0.6,Average precision,Decision tree,43,4.3
Heterogeneous core,Single linear signal,0.6,Average precision,Gaussian naive Bayes,143,14.3
Heterogeneous core,Single linear signal,0.6,Average precision,Histogram gradient boosting,164,16.4
Heterogeneous core,Single linear signal,0.6,Average precision,Linear SVM,143,14.3
Heterogeneous core,Single linear signal,0.6,Average precision,Logistic regression,167,16.7
Heterogeneous core,Single linear signal,0.6,Average precision,Random forest,213,21.3
Heterogeneous core,Single linear signal,0.6,Average precision,RBF SVM,127,12.7
Heterogeneous core,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),Decision tree,162,16.2
Heterogeneous core,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),Gaussian naive Bayes,141,14.1
Heterogeneous core,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),Histogram gradient boosting,161,16.1
Heterogeneous core,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),Linear SVM,120,12
Heterogeneous core,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),Logistic regression,134,13.4
Heterogeneous core,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),Random forest,173,17.3
Heterogeneous core,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),RBF SVM,109,10.9
Heterogeneous core,Single linear signal,0.6,AUROC,Decision tree,73,7.3
Heterogeneous core,Single linear signal,0.6,AUROC,Gaussian naive Bayes,122,12.2
Heterogeneous core,Single linear signal,0.6,AUROC,Histogram gradient boosting,166,16.6
Heterogeneous core,Single linear signal,0.6,AUROC,Linear SVM,183,18.3
Heterogeneous core,Single linear signal,0.6,AUROC,Logistic regression,157,15.7
Heterogeneous core,Single linear signal,0.6,AUROC,Random forest,163,16.3
Heterogeneous core,Single linear signal,0.6,AUROC,RBF SVM,136,13.6
Heterogeneous core,Single linear signal,0.7,Average precision,Decision tree,6,0.6
Heterogeneous core,Single linear signal,0.7,Average precision,Gaussian naive Bayes,36,3.6
Heterogeneous core,Single linear signal,0.7,Average precision,Histogram gradient boosting,108,10.8
Heterogeneous core,Single linear signal,0.7,Average precision,Linear SVM,265,26.5
Heterogeneous core,Single linear signal,0.7,Average precision,Logistic regression,284,28.4
Heterogeneous core,Single linear signal,0.7,Average precision,Random forest,248,24.8
Heterogeneous core,Single linear signal,0.7,Average precision,RBF SVM,53,5.3
Heterogeneous core,Single linear signal,0.7,Partial AUROC (FPR ≤ 0.10),Decision tree,87,8.7
