bootstrap_replication,delta_tess,tess_promising,tess_matched_random,pi_promising,pi_matched_random,pi_base,pi_full,activation_rate,cov_activation_increment,trigger_threshold,trigger_tie_probability,incremental_gain_rate,reverse_transition_rate,reference_unique_repetitions,evaluation_unique_repetitions
11987,0.7726626769986273,6.699076533978371,5.926413856979743,0.2908,0.26212828,0.1984,0.3238,0.5082,0.028671719999999998,0.5287444444444445,0.5,0.1276,0.0022,3126.0,3141.0
11988,0.8876714681354816,6.660628830230324,5.772957362094842,0.2894,0.25629736,0.1984,0.3148,0.4974,0.033102639999999996,0.5287333333333333,1.0,0.1182,0.0018,3162.0,3151.0
11989,0.8615164130933657,6.931368780365318,6.069852367271952,0.2992,0.26753720000000003,0.203,0.329,0.5122,0.03166279999999999,0.5280444444444445,0.75,0.127,0.001,3165.0,3170.0
11990,0.819233942398415,6.616781241893386,5.797547299494971,0.2878,0.2572348,0.2014,0.317,0.483,0.030565200000000008,0.5294333333333333,1.0,0.1176,0.002,3157.0,3162.0
11991,0.7784214485440133,6.415259164668228,5.636837716124215,0.2804,0.25108664,0.1958,0.3074,0.4954,0.02931335999999999,0.5287444444444445,0.4,0.113,0.0014,3185.0,3178.0
11992,0.7571072648259882,6.426099157022132,5.668991892196144,0.2808,0.2523208,0.1964,0.3096,0.494,0.028479200000000003,0.5285,1.0,0.1142,0.001,3158.0,3163.0
11993,0.857192228888592,7.042964538684909,6.185772309796317,0.3032,0.27187944,0.2066,0.3348,0.5092,0.03132056,0.5281666666666667,0.6666666666666666,0.13,0.0018,3138.0,3170.0
11994,0.6614813955472689,6.748620971687355,6.087139576140086,0.2926,0.2681864,0.2084,0.3244,0.5154,0.0244136,0.5287444444444445,1.0,0.1172,0.0012,3128.0,3137.0
11995,0.8611954602307801,6.9146843756275365,6.053488915396756,0.2986,0.26692216,0.1966,0.3322,0.5186,0.03167784,0.528,0.6666666666666666,0.1368,0.0012,3159.0,3187.0
11996,0.6947678803792501,6.60583473641421,5.91106685603496,0.2874,0.26154720000000004,0.201,0.32,0.5088,0.025852800000000002,0.5286333333333333,1.0,0.1204,0.0014,3179.0,3127.0
11997,0.8050372376189392,6.464086665275775,5.659049427656836,0.2822,0.25193940000000004,0.1922,0.3124,0.497,0.0302606,0.5289333333333333,1.0,0.1212,0.001,3155.0,3155.0
11998,0.7952939198702609,6.551194213690171,5.75590029381991,0.2854,0.2556464,0.1932,0.3172,0.5036,0.029753599999999998,0.5290388888888888,0.75,0.1258,0.0018,3149.0,3158.0
11999,0.8364695434451646,6.5239312729500245,5.68746172950486,0.2844,0.2530288,0.1934,0.3144,0.4928,0.031371199999999995,0.5290333333333334,1.0,0.123,0.002,3131.0,3174.0
12000,0.8567961225231571,6.534831874713585,5.678035752190428,0.2848,0.25266756,0.19,0.3138,0.5062,0.03213244,0.5288222222222222,0.3333333333333333,0.125,0.0012,3163.0,3171.0
12001,0.7291267138062834,6.388185523674877,5.659058809868593,0.2794,0.25193976,0.1974,0.3106,0.4818,0.027460240000000004,0.5293000000000001,1.0,0.1146,0.0014,3176.0,3200.0
12002,0.6685043782648581,6.589426493830089,5.920922115565231,0.2868,0.2619204,0.2028,0.3168,0.5186,0.02487960000000001,0.5283055555555556,1.0,0.116,0.002,3156.0,3179.0
12003,0.7590351546647449,6.864716661611656,6.105681506946911,0.2968,0.26888207999999997,0.207,0.3292,0.5064,0.027917920000000006,0.5282555555555555,1.0,0.1234,0.0012,3154.0,3157.0
12004,0.8888114925595811,6.837012058759519,5.9482005661999375,0.2958,0.26295240000000003,0.1948,0.3288,0.5086,0.03284759999999999,0.5291333333333333,0.6666666666666666,0.135,0.001,3171.0,3175.0
12005,0.7158286084629584,6.43152141425253,5.715692805789572,0.281,0.25410968,0.193,0.3132,0.5084,0.026890319999999995,0.5289,0.25,0.1224,0.0022,3135.0,3199.0
12006,0.7014289385156767,6.759647966181682,6.058219027666006,0.293,0.2671,0.2096,0.3246,0.5,0.0259,0.5289888888888888,1.0,0.1162,0.0012,3165.0,3149.0
12007,0.7303315020078109,6.551194213690171,5.82086271168236,0.2854,0.25812256,0.2002,0.3154,0.5028,0.02727744,0.5284555555555556,0.25,0.1186,0.0034,3141.0,3137.0
12008,0.7981880711959253,6.589426493830089,5.791238422634164,0.2868,0.2569944,0.1986,0.3146,0.5034,0.0298056,0.5287888888888889,1.0,0.1174,0.0014,3190.0,3182.0
12009,0.7507436370437599,6.660628830230324,5.909885193186564,0.2894,0.26150244,0.2016,0.3238,0.4902,0.027897560000000002,0.5289888888888888,0.5,0.1244,0.0022,3144.0,3125.0
12010,0.7981285609305724,6.469519499572106,5.671390938641534,0.2824,0.2524128,0.1962,0.3138,0.478,0.029987200000000006,0.5295333333333333,0.3333333333333333,0.1182,0.0006,3186.0,3141.0
12011,0.8071459461007633,7.285080634427966,6.477934688327203,0.3118,0.28270968,0.2154,0.3462,0.5146,0.029090320000000003,0.5280833333333333,1.0,0.132,0.0012,3206.0,3176.0
12012,0.7370919178057127,7.093391792468956,6.356299874663243,0.305,0.27822048,0.2188,0.3336,0.5176,0.026779520000000008,0.5285,0.8333333333333334,0.116,0.0012,3143.0,3154.0
12013,0.7055505203735484,6.551194213690171,5.845643693316623,0.2854,0.25906496,0.203,0.3164,0.4944,0.026335039999999997,0.5292,1.0,0.1142,0.0008,3189.0,3176.0
12014,0.7596719931661156,6.323361770697553,5.563689777531438,0.277,0.24827143999999998,0.1934,0.3052,0.4908,0.028728559999999993,0.5289999999999999,0.3333333333333333,0.1144,0.0026,3161.0,3144.0
12015,0.7002450758512904,6.781720683791366,6.081475607940075,0.2938,0.26797376,0.2048,0.3296,0.5062,0.02582624,0.5289888888888888,1.0,0.1258,0.001,3113.0,3166.0
12016,0.770367360782533,6.007742909099628,5.237375548317095,0.2652,0.23558331999999998,0.1808,0.2946,0.4814,0.029616680000000006,0.5293222222222222,1.0,0.1158,0.002,3144.0,3152.0
12017,0.7286827169560874,6.415259164668228,5.686576447712141,0.2804,0.25299488,0.1936,0.3122,0.5008,0.027405119999999998,0.5284777777777778,0.3333333333333333,0.1208,0.0022,3151.0,3174.0
12018,0.6978424519180724,6.853630095634059,6.155787643715986,0.2964,0.27075872,0.212,0.3284,0.5048,0.025641279999999995,0.5280777777777778,1.0,0.1184,0.002,3200.0,3153.0
12019,0.7755597567036281,7.3247810351211555,6.549221278417527,0.3132,0.28532768,0.2168,0.3494,0.5168,0.027872319999999992,0.5280444444444444,1.0,0.1342,0.0016,3162.0,3135.0
12020,0.7999248497021627,6.600363787663217,5.800438937961054,0.2872,0.25734496,0.1954,0.3186,0.5028,0.02985504,0.5287888888888889,0.3333333333333333,0.1244,0.0012,3141.0,3146.0
12021,0.760165856923904,6.09816111446285,5.337995257538946,0.2686,0.23951840000000002,0.1834,0.297,0.494,0.029081599999999992,0.5292,0.3333333333333333,0.1152,0.0016,3216.0,3161.0
12022,0.8126126653063626,6.837012058759519,6.024399393453156,0.2958,0.26582752,0.1972,0.3324,0.5076,0.029972479999999996,0.5286666666666666,1.0,0.1382,0.003,3174.0,3168.0
12023,0.7184509236279437,6.875809535735241,6.157358612107298,0.2972,0.27081748,0.2116,0.325,0.5222,0.026382519999999993,0.528,0.2857142857142857,0.1162,0.0028,3161.0,3132.0
12024,0.6486147049234141,6.655142485534986,6.006527780611572,0.2892,0.2651542,0.2048,0.3202,0.523,0.0240458,0.5277333333333334,0.6,0.1162,0.0008,3162.0,3168.0
12025,0.9108954015087791,6.809346769958972,5.898451368450193,0.2948,0.2610692,0.1988,0.3248,0.4942,0.033730800000000005,0.5286333333333333,1.0,0.1276,0.0016,3150.0,3169.0
12026,0.753032391513246,6.920244257526399,6.167211866013153,0.2988,0.27118591999999997,0.207,0.3334,0.5078,0.02761408,0.5280722222222223,1.0,0.1284,0.002,3174.0,3181.0
12027,0.8884458945428841,6.987086811277638,6.0986409167347535,0.3012,0.268618,0.2062,0.3298,0.505,0.032582,0.5284388888888889,0.25,0.1252,0.0016,3184.0,3124.0
12028,0.9059856871308849,6.660628830230324,5.754643143099439,0.2894,0.2555984,0.1922,0.317,0.508,0.0338016,0.5283222222222222,1.0,0.126,0.0012,3181.0,3155.0
12029,0.6741938622681376,6.534831874713585,5.860638012445447,0.2848,0.2596346,0.2008,0.3146,0.517,0.025165400000000004,0.5282000000000001,0.5,0.115,0.0012,3196.0,3172.0
12030,0.756720315515393,6.671606153575651,5.914885838060258,0.2898,0.26169184,0.2032,0.3178,0.5104,0.028108160000000007,0.5288888888888889,1.0,0.1156,0.001,3141.0,3160.0
12031,0.8323880858010861,6.787242770146432,5.954854684345346,0.294,0.26320392,0.2034,0.3222,0.5034,0.030796080000000003,0.5286111111111111,1.0,0.1202,0.0014,3174.0,3153.0
12032,0.7832748277490404,6.301801662615553,5.518526834866512,0.2762,0.24652800000000002,0.1912,0.3032,0.494,0.029672000000000004,0.5285444444444444,1.0,0.113,0.001,3206.0,3169.0
12033,0.7837974537897718,6.781720683791366,5.997923230001594,0.2938,0.2648298,0.2064,0.3234,0.4994,0.0289702,0.5286666666666666,1.0,0.1192,0.0022,3170.0,3186.0
12034,0.909055928190563,7.239807520913069,6.330751592722506,0.3102,0.277274,0.2032,0.3462,0.518,0.032926,0.5285,0.6666666666666666,0.1442,0.0012,3149.0,3154.0
12035,0.8463777693942545,6.339547513218129,5.4931697438238745,0.2776,0.24554736,0.1828,0.3072,0.5044,0.03205264000000001,0.5280777777777778,0.5,0.1244,0.0,3097.0,3140.0
12036,0.8261056035652645,6.776200161102284,5.950094557537019,0.2936,0.263024,0.2024,0.3224,0.5052,0.030576000000000006,0.5284222222222222,1.0,0.1222,0.0022,3126.0,3171.0
12037,0.7007432063796957,6.545738574716212,5.844995368336516,0.2852,0.25904032,0.2002,0.3196,0.4928,0.026159680000000005,0.5290555555555555,0.5,0.1204,0.001,3183.0,3153.0
12038,0.747161361193915,6.355746704633082,5.608585343439167,0.2782,0.25000056000000004,0.1874,0.315,0.4906,0.028199440000000006,0.5291,1.0,0.1294,0.0018,3154.0,3162.0
12039,0.8107387988146222,6.60583473641421,5.795095937599588,0.2874,0.25714139999999996,0.1926,0.3196,0.5082,0.030258599999999997,0.5280444444444444,1.0,0.1284,0.0014,3160.0,3149.0
12040,0.6451807696656253,6.970354675437629,6.325173905772004,0.3006,0.2770672,0.2142,0.3358,0.517,0.023532800000000006,0.5279444444444444,0.75,0.124,0.0024,3165.0,3215.0
12041,0.7577245844022436,6.770681201193884,6.012956616791641,0.2934,0.26539648000000005,0.202,0.3266,0.5088,0.02800351999999999,0.5282388888888889,0.5,0.1262,0.0016,3179.0,3177.0
12042,0.7803532435596763,6.6770971339657645,5.896743890406088,0.29,0.26100448,0.198,0.3212,0.5114,0.028995519999999997,0.5286111111111111,0.6666666666666666,0.1248,0.0016,3153.0,3141.0
12043,0.8060641017809402,6.119497068161396,5.313432966380455,0.2694,0.23855968,0.179,0.3006,0.4898,0.03084031999999999,0.5286444444444445,1.0,0.1238,0.0022,3188.0,3133.0
