library,mapping_status,alpha,candidate_order,candidate,trigger_threshold,regular_quantile_threshold,regular_quantile_index_zero_based,plus_one_threshold,plus_one_index_zero_based,plus_one_attainable,plus_one_minus_regular_threshold,candidate_minus_trigger_gap,absolute_gap,exact_coincidence,candidate_threshold_tie_count,candidate_threshold_tie_mass,candidate_lower_spacing,candidate_upper_spacing,trigger_lower_spacing,trigger_upper_spacing,gap_in_local_score_spacings,regularity_classification
high_dependency_linear_20,historical_surrogate_20_candidate,0.025,6,elastic_net_logreg,0.5118555555555555,0.5597777777777777,9749,0.5598666666666667,9750,True,8.888888888902713e-05,0.0479222222222222,0.0479222222222222,False,1,0.0001,9.999999999987796e-05,8.888888888902713e-05,1.111111111107288e-05,1.1102230246251565e-16,431645004285532.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.025,7,linear_svm_c1,0.5118555555555555,0.5596777777777778,9749,0.5596777777777778,9750,True,0.0,0.04782222222222232,0.04782222222222232,False,2,0.0002,2.2222222222256782e-05,1.111111111107288e-05,1.111111111107288e-05,1.1102230246251565e-16,430744284360059.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.01,1,logreg_l2_c003,0.5118555555555555,0.5701222222222222,9899,0.5702222222222223,9900,True,0.00010000000000010001,0.05826666666666669,0.05826666666666669,False,1,0.0001,5.555555555547542e-05,0.00010000000000010001,1.111111111107288e-05,1.1102230246251565e-16,524819476576242.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.01,2,logreg_l2_c01,0.5118555555555555,0.5702333333333334,9899,0.5702444444444444,9900,True,1.111111111107288e-05,0.05837777777777786,0.05837777777777786,False,1,0.0001,1.1111111111183902e-05,1.111111111107288e-05,1.111111111107288e-05,1.1102230246251565e-16,525820276493436.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.01,3,logreg_l2_c1,0.5118555555555555,0.5700666666666667,9899,0.5701,9900,True,3.333333333332966e-05,0.05821111111111121,0.05821111111111121,False,1,0.0001,0.00016666666666675933,3.333333333332966e-05,1.111111111107288e-05,1.1102230246251565e-16,524319076617646.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.01,4,logreg_l2_c10,0.5118555555555555,0.5698444444444445,9899,0.5701111111111111,9900,True,0.0002666666666666373,0.05798888888888898,0.05798888888888898,False,1,0.0001,8.88888888889161e-05,0.0002666666666666373,1.111111111107288e-05,1.1102230246251565e-16,522317476783259.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.01,5,logreg_l1_c01,0.5118555555555555,0.5692,9899,0.5693,9900,True,9.999999999998899e-05,0.05734444444444453,0.05734444444444453,False,1,0.0001,0.00012222222222224577,9.999999999998899e-05,1.111111111107288e-05,1.1102230246251565e-16,516512837263537.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.01,6,elastic_net_logreg,0.5118555555555555,0.5696444444444444,9899,0.5696666666666665,9900,True,2.222222222214576e-05,0.05778888888888889,0.05778888888888889,False,1,0.0001,4.444444444440254e-05,2.222222222214576e-05,1.111111111107288e-05,1.1102230246251565e-16,520516036932310.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.01,7,linear_svm_c1,0.5118555555555555,0.5699222222222222,9899,0.5700111111111111,9900,True,8.88888888889161e-05,0.05806666666666671,0.05806666666666671,False,1,0.0001,0.00022222222222223476,8.88888888889161e-05,1.111111111107288e-05,1.1102230246251565e-16,523018036725294.0,empirically_separated
high_dependency_linear_20,historical_surrogate_20_candidate,0.005,1,logreg_l2_c003,0.5118555555555555,0.5766666666666667,9949,0.5766777777777777,9950,True,1.111111111107288e-05,0.06481111111111115,0.06481111111111115,False,1,0.0001,0.00018888888888879407,1.111111111107288e-05,1.111111111107288e-05,1.1102230246251565e-16,583766591698936.0,empirically_separated
