model,error,roc_auc,average_precision,pauc_fpr_0_10,mannwhitney_p,replication,seed
linear_svm,,0.7401918691515295,0.4819982649325454,0.5760089064368872,8.79584717669605e-55,196,2764545561
rbf_svm,,0.6771235354250217,0.42768686552870877,0.556317072464128,1.02125453577291e-30,196,2764545561
gaussian_nb,,0.5305370763544861,0.27100679600394606,0.5017362286262216,3.5456082972449874e-07,196,2764545561
decision_tree,,0.6080467091295118,0.3396680218183286,0.5342546534113563,9.664566006104392e-15,196,2764545561
random_forest,,0.7270944405126996,0.4509756452896623,0.561655968181837,3.4197026962885028e-49,196,2764545561
hist_gradient_boosting,,0.7281788157584336,0.46240843456067227,0.5628975718371182,1.2105832543949077e-49,196,2764545561
logistic_regression,,0.7341102461272313,0.4662848342163428,0.5748169669278173,3.7881202026030105e-52,197,572709107
linear_svm,,0.7326665093968704,0.4661721380290028,0.575297053674526,1.562837706948204e-51,197,572709107
rbf_svm,,0.6754187308327435,0.4374702551001497,0.5693704655599839,3.6292497861845225e-30,197,572709107
gaussian_nb,,0.7162286702838719,0.44947169615917304,0.5615152531009051,8.620946076101729e-45,197,572709107
decision_tree,,0.6170386097350004,0.3371334103247515,0.528917835991252,5.339263877145079e-17,197,572709107
random_forest,,0.7283903436345049,0.46256236552925556,0.5677398260927147,9.880297417275782e-50,197,572709107
hist_gradient_boosting,,0.7268915624754266,0.4673093733153102,0.569958157956817,4.1507802200664116e-49,197,572709107
logistic_regression,,0.7379696469293072,0.4856268671878987,0.5806938908961481,8.214107476921932e-54,198,385146068
linear_svm,,0.735918848785091,0.48030759946976415,0.5789639231364564,6.339551155081352e-53,198,385146068
rbf_svm,,0.6706833372650782,0.43469831085151517,0.56383291325743,1.1532145678838051e-28,198,385146068
gaussian_nb,,0.5369458205551624,0.27372163353902457,0.502122057354133,1.1953997131369241e-08,198,385146068
decision_tree,,0.6311653691908469,0.35904719599495716,0.5411984786216544,1.7109193446585514e-20,198,385146068
random_forest,,0.7216025792246599,0.4596518077406706,0.5691386995443315,6.100603457021178e-47,198,385146068
hist_gradient_boosting,,0.731680427773846,0.4535794231193988,0.5544298349081006,4.0938140437689024e-51,198,385146068
logistic_regression,,0.7429425178894393,0.4730429947317664,0.5689234882440828,5.381220477404377e-56,199,3362730764
linear_svm,,0.7415097900448219,0.4755997530825971,0.5710838786042719,2.3153248311315193e-55,199,3362730764
rbf_svm,,0.6834143272784462,0.43002342262714255,0.56317072464128,8.544399461909563e-33,199,3362730764
gaussian_nb,,0.5323488244082724,0.2717534385877595,0.5018397097723809,8.944310290314042e-07,199,3362730764
decision_tree,,0.5922686168121413,0.31957287000483126,0.5220053554504331,3.0531247654250524e-11,199,3362730764
random_forest,,0.7333396241251868,0.451648602215638,0.5626947765734223,8.080195092700358e-52,199,3362730764
hist_gradient_boosting,,0.7266580168278682,0.44960778888374753,0.5576828364849373,5.186776877586945e-49,199,3362730764
logistic_regression,,0.7360619642997562,0.47394379558670574,0.5774657213924171,5.50011097308593e-53,200,1578368121
linear_svm,,0.735610599984273,0.4738126598935073,0.5765717667606147,8.60591298327772e-53,200,1578368121
rbf_svm,,0.6585200912164818,0.4066325344505364,0.5538255877958638,5.429373287919153e-25,200,1578368121
gaussian_nb,,0.5314185735629473,0.27139850076851796,0.5017941875423954,1.4804606825249927e-06,200,1578368121
decision_tree,,0.636175198553118,0.3521322282254963,0.534124737415608,2.7999759081975653e-22,200,1578368121
random_forest,,0.7171431941495636,0.45204164235785926,0.5655959904479292,3.743950064889466e-45,200,1578368121
hist_gradient_boosting,,0.7131430368797673,0.43018973223337637,0.5502497692686541,1.4013366276334856e-43,200,1578368121
logistic_regression,,0.7463804356373359,0.47415594837654096,0.5720606068130931,1.56688385854724e-57,201,219407413
linear_svm,,0.7467877644098452,0.47587260754754224,0.5724827520558887,1.0271864655444472e-57,201,219407413
rbf_svm,,0.6790296453566093,0.43770312036261094,0.5698174428758852,2.4390032890275627e-31,201,219407413
gaussian_nb,,0.7239616261696942,0.44559912118984535,0.5599260004221452,6.683032015164572e-48,201,219407413
decision_tree,,0.6279900920028307,0.36347260185675356,0.5463750107844421,6.119591722665599e-20,201,219407413
random_forest,,0.7312542266257765,0.4602286061069778,0.5582705288817704,6.199288006993753e-51,201,219407413
hist_gradient_boosting,,0.73953605410081,0.4659078244487852,0.5641557302078031,1.7043341532125132e-54,201,219407413
logistic_regression,,0.7394873004639458,0.46910747861146085,0.5739975085153317,1.7901110172954894e-54,202,1714589603
linear_svm,,0.7387701501926556,0.47100003102570925,0.5751480612358922,3.6818796999094813e-54,202,1714589603
rbf_svm,,0.6609121648187466,0.43382113613683787,0.5716384615702975,1.0802105199808913e-25,202,1714589603
gaussian_nb,,0.5283793347487615,0.2700813433808705,0.5016025414867463,1.0564256596303212e-06,202,1714589603
decision_tree,,0.6108563340410474,0.34275351546761557,0.535008197540324,1.808293209710098e-15,202,1714589603
random_forest,,0.7276464574978376,0.4618906806960562,0.5663906167873092,2.0168268789615516e-49,202,1714589603
hist_gradient_boosting,,0.7293056538491782,0.4449058730446801,0.5506884692268534,4.0933967167696974e-50,202,1714589603
logistic_regression,,0.7339215223716287,0.4739188191475875,0.575495710259371,4.561360991172435e-52,203,4226885932
linear_svm,,0.7329039867893371,0.4739161389351149,0.5756612574134085,1.238604100885909e-51,203,4226885932
rbf_svm,,0.6768530313753244,0.43455422650726006,0.5613662606622714,1.2498616869277625e-30,203,4226885932
gaussian_nb,,0.7256491310843752,0.4335314794326778,0.5489833335402673,1.3545233190662139e-48,203,4226885932
decision_tree,,0.6419076826295511,0.38345849817031485,0.5538156549666216,1.9894857655885243e-23,203,4226885932
random_forest,,0.7353157191161438,0.4643531426892273,0.5627982435446957,1.1524366673021749e-52,203,4226885932
hist_gradient_boosting,,0.7365322009907997,0.45398867304628654,0.5631458925681744,3.4468641356249475e-53,203,4226885932
logistic_regression,,0.733177636234961,0.47059320400273263,0.5771511817997459,9.472033607782618e-52,204,3244192700
linear_svm,,0.7321805457261932,0.4704402038413722,0.576753868630056,2.5132722840361658e-51,204,3244192700
rbf_svm,,0.6678839348903043,0.4236902064968727,0.5663409526410979,8.528325672428527e-28,204,3244192700
gaussian_nb,,0.7353054965793819,0.4659795262015356,0.5690228165365052,1.1641567324799768e-52,204,3244192700
decision_tree,,0.6253762679877328,0.35051302864936873,0.5352590146173538,2.6617095350862775e-19,204,3244192700
random_forest,,0.7184328064795156,0.4330701620848651,0.5550464980568903,1.148070988432382e-45,204,3244192700
hist_gradient_boosting,,0.721187386962334,0.4413093854677259,0.5507712428038721,8.981756808195356e-47,204,3244192700
logistic_regression,,0.7460360147833609,0.4717516879286682,0.5711914842543964,2.2380376071120712e-57,205,3825044283
linear_svm,,0.7472988912479358,0.4727694102376063,0.5727476275023488,6.040940363325048e-58,205,3825044283
rbf_svm,,0.6773028229928443,0.42789808583097694,0.5573434648191604,8.93132566088253e-31,205,3825044283
gaussian_nb,,0.5349453487457734,0.2729794528103012,0.5020307173550552,1.3721846145399514e-07,205,3825044283
decision_tree,,0.6259793976566801,0.3429515757444479,0.5281572161362236,1.8293488893794181e-19,205,3825044283
random_forest,,0.7359503027443579,0.4728478441654111,0.5740140632307354,6.144724681220168e-53,205,3825044283
hist_gradient_boosting,,0.7347833608555477,0.45811162873533595,0.5636756434610943,1.9506211373748252e-52,205,3825044283
logistic_regression,,0.739738932138083,0.4746543560916695,0.568443401497374,1.389210592107011e-54,206,1582763680
linear_svm,,0.7403082488008179,0.4765373288874359,0.5701402598262583,7.820178356215566e-55,206,1582763680
rbf_svm,,0.6766973342769521,0.43006191962052664,0.567524614792466,1.4037721811827529e-30,206,1582763680
gaussian_nb,,0.532547770700637,0.27185199548354044,0.5018558982830417,1.8936513494916978e-07,206,1582763680
decision_tree,,0.5979688605803256,0.33156565188333903,0.5292347693842342,3.5404812641303635e-12,206,1582763680
random_forest,,0.7264000943618778,0.466923885631184,0.5657242894923082,6.63208373530242e-49,206,1582763680
hist_gradient_boosting,,0.7269088621530235,0.4591268087130636,0.5627568567561863,4.082797401970312e-49,206,1582763680
logistic_regression,,0.7377148698592435,0.47776886117826,0.5757026442019179,1.0598183705838356e-53,207,2285987360
linear_svm,,0.7369977195879532,0.47672217969634967,0.5757357536327253,2.16829693328683e-53,207,2285987360
rbf_svm,,0.6753432413305025,0.4237120830077864,0.5620284492784213,3.837779587826691e-30,207,2285987360
gaussian_nb,,0.531744122041362,0.2715768155873409,0.5018251423659669,6.712508816383525e-07,207,2285987360
decision_tree,,0.597354722025635,0.32211555140471526,0.5227364031198788,3.0611242972103934e-12,207,2285987360
random_forest,,0.7273036093418259,0.45431296865351534,0.5606378531845064,2.800013050362956e-49,207,2285987360
hist_gradient_boosting,,0.7341841629315089,0.4623828757338204,0.5674418412154472,3.522168679582057e-52,207,2285987360
logistic_regression,,0.7363985216639144,0.458471362049931,0.5664816677220298,3.9369417500023045e-53,208,523893878
linear_svm,,0.7350884642604388,0.4607396758492355,0.5698505523066927,1.442935734595039e-52,208,523893878
rbf_svm,,0.6722214358732406,0.42864838091547597,0.5633362717953175,3.788388990093808e-29,208,523893878
gaussian_nb,,0.5356334041047417,0.2732052190927778,0.50205374457425,8.840155166411825e-08,208,523893878
decision_tree,,0.5983919163324682,0.3303588005768659,0.5273391161406789,1.148880667161557e-12,208,523893878
random_forest,,0.7182472281198395,0.44947421469620885,0.5653393923591711,1.3615334904225743e-45,208,523893878
hist_gradient_boosting,,0.73447511205473,0.47346016502187477,0.5708603899463214,2.6440974735944682e-52,208,523893878
logistic_regression,,0.7501218840921601,0.47708226711888985,0.5729214520140881,3.156904802877409e-59,209,119797004
linear_svm,,0.7490225682157742,0.4770914407407827,0.5736581368495549,1.0003387605319763e-58,209,119797004
rbf_svm,,0.6776959974836833,0.43121741247074286,0.564685481100723,6.653367611861163e-31,209,119797004
gaussian_nb,,0.5313108437524574,0.27129760476307296,0.5017727529300601,5.137127367726531e-07,209,119797004
decision_tree,,0.6315443894000158,0.3690055624998314,0.5509326512790587,9.77649713167416e-21,209,119797004
random_forest,,0.7350381379256115,0.4631363197906603,0.5697429466565683,1.5165376094667342e-52,209,119797004
hist_gradient_boosting,,0.739748368325863,0.47041536861628697,0.5664485582912223,1.3760574154188295e-54,209,119797004
logistic_regression,,0.7428387198238577,0.4766080351853903,0.5732028821759518,5.982988836781872e-56,210,3239549520
linear_svm,,0.7426672957458519,0.4784362120402693,0.5743948216850217,7.127002849096961e-56,210,3239549520
rbf_svm,,0.6859164897381457,0.45650839107917135,0.5715143012047694,1.2176024738271713e-33,210,3239549520
gaussian_nb,,0.5346229456632854,0.2727745642359186,0.5019924712825699,2.144321359047797e-07,210,3239549520
decision_tree,,0.5908995832350398,0.32999878735894966,0.5324997147267793,1.0365488414348646e-10,210,3239549520
random_forest,,0.732139655579146,0.45796389778778623,0.5619332596648497,2.615651271065757e-51,210,3239549520
hist_gradient_boosting,,0.7329252182118424,0.4589818050767663,0.5634687095185474,1.2131060383880006e-51,210,3239549520
logistic_regression,,0.7405976252260753,0.4746390000283357,0.5811325908543474,5.8364367754668616e-55,211,3767118317
linear_svm,,0.7385751356451993,0.47300646755105213,0.5804124607342844,4.4778969132213e-54,211,3767118317
