replication,seed,roc_auc,average_precision,pauc_fpr_0_10
336,3795230769,0.736939529763309,0.4613239186792935,0.5705375729959482
337,1901019934,0.7380938900684124,0.47228551852153633,0.5717957313666331
338,1539368907,0.7451836124872219,0.48022118449776785,0.5771842912305534
339,2187216938,0.7384681921836912,0.4773195393259945,0.5745520914813573
340,2846781255,0.7392749862388929,0.4712196090309465,0.574833521643221
341,870693245,0.7399622552488794,0.46506867725697254,0.5714066955546451
342,3724821584,0.7397247778564127,0.48780793795089455,0.5787735439093132
343,3951709647,0.7407501769285209,0.47846888775576285,0.5753715498938429
344,3607460055,0.7421137060627506,0.4872710881438043,0.5739561217268223
345,193389244,0.7495179680742313,0.47312190632298284,0.5707941710847063
346,1886767032,0.7393237398757568,0.4729961286393848,0.5745107046928479
347,1673218511,0.7438436738224424,0.4709710152901973,0.570156814541662
348,2399763587,0.7280427773846032,0.4645721526660543,0.5724744746981869
349,1320134726,0.7388456396948966,0.4793947077576534,0.5763772488546206
350,2694545409,0.7425053078556263,0.47494264585881707,0.5728469557947712
351,2495618689,0.7480506408744201,0.4758522000495359,0.5751811706666998
352,2886379897,0.7392026421325784,0.4851064024082219,0.5775733270425415
353,2774456366,0.7383549579303293,0.47407435175531687,0.5722758181133418
354,2920652411,0.7402673586537706,0.46723999690286666,0.5728138463639637
355,2432334592,0.7410002359046945,0.47258777046105876,0.5721268256747081
356,3301250253,0.7467987732955885,0.48179239474274116,0.5745769235544629
357,1826184685,0.7428528741055281,0.4747213925495476,0.5748335216432211
358,3257526009,0.7400440355429739,0.48491082912323846,0.5751811706666998
359,3714162882,0.7404482189195564,0.468346024549663,0.5709348861656383
360,3629020552,0.7380750176928521,0.46732882670691106,0.5708769446617251
361,2728824661,0.7370260281512936,0.46299342100222224,0.5684185694242684
362,593957220,0.7425131713454431,0.4797821505932355,0.5748914631471341
363,1872797234,0.7405803255484784,0.47524679248681845,0.5745107046928479
364,4182476884,0.7345049933160337,0.46373863500728907,0.5700326541761339
365,4142286079,0.7382008335299206,0.4717864200796449,0.5712328710429057
366,4102980615,0.7342612251317134,0.4642727583489991,0.5691221448289278
367,558307747,0.7348572776598254,0.46689726963742934,0.5734843123378155
368,2802190223,0.7436974129118502,0.4728594895899618,0.57266485392533
369,4128250647,0.7391491704018244,0.4657169729125683,0.5704299673458239
370,1930285431,0.7468066367854054,0.48384006137641844,0.5725075841289944
371,682148163,0.7388047495478494,0.47163655117654446,0.5749742367241529
372,496821540,0.7398726114649681,0.4775314094865011,0.5758681913559554
373,3783366571,0.7351057639380357,0.4665307662359156,0.5694863485678102
374,1670288426,0.7436423684831329,0.4767801945419101,0.5747590254239042
375,1978028858,0.7455327514350869,0.4833266859750453,0.5748417990009229
376,1401232498,0.7399716914366595,0.4704999616391174,0.5728469557947712
377,191856670,0.7373437131398914,0.47388497664543056,0.578401062812729
378,1875472982,0.7473397813949831,0.47303981918377946,0.5729793935180012
379,2573251187,0.7400534717307541,0.47153240965056475,0.573120108598933
380,3419391937,0.7432145946370999,0.4739394426754202,0.5752391121706129
381,759621795,0.7387261146496815,0.47588565897470014,0.5743699896119161
382,3492882953,0.7412487221829048,0.4724541282606454,0.5741878877424749
383,2425489153,0.7378060863411182,0.4686699532212578,0.5743286028234067
384,3984357731,0.7408539749941023,0.4792321410364907,0.5740057858730336
385,2629397966,0.7447212392859952,0.4791262221115963,0.5732691010375668
386,511587266,0.734242352756153,0.4638723971363707,0.5715805200663844
387,1374356124,0.7380640088071087,0.4804630621062909,0.5754212140400541
388,1392531993,0.736736651726036,0.49047558251484324,0.5794936740293763
389,3856107702,0.7382212786034442,0.4594310468725072,0.5677315487350127
390,2663256254,0.7416450420696705,0.4846430425918674,0.5805862852460237
391,2373450515,0.7361358811040339,0.4755275046767082,0.5713487540507319
392,2908379786,0.74230557521428,0.4680505711446882,0.568575839220604
393,4087599350,0.7383848391916332,0.4678726119436297,0.5746265877006742
394,1315705503,0.737342140441928,0.4655314659203845,0.5722758181133418
395,3401164096,0.7379995281906111,0.4667500395275896,0.575098397089681
396,3406108635,0.7368137139262405,0.4726853195157277,0.574502427335146
397,522986909,0.7428450106157112,0.4878735760769648,0.5726814086407337
398,2506936529,0.7374522292993632,0.46986560115749065,0.5782189609432877
399,561782749,0.7326020287803726,0.4735447322623069,0.5763400007449622
400,425371984,0.7358803176849886,0.47910191457578893,0.5765965988337203
401,1136736821,0.7365935362113707,0.481669726298007,0.574444485831233
402,1527338358,0.7407580404183376,0.47606618504425646,0.5742127198155804
403,3679748278,0.7331052921286467,0.4754354924121502,0.5750818423742773
404,453711811,0.7388912479358339,0.48308919869809475,0.5783679533819214
