library,policy,replication,best_model,best_selection_metric,p_value,winner_model,winner_selection_roc_auc,naive_empirical_p_value,model_match,score_abs_diff,p_abs_diff,decision_mismatch_alpha_0.2,decision_mismatch_alpha_0.1,decision_mismatch_alpha_0.05,decision_mismatch_alpha_0.025,decision_mismatch_alpha_0.01,decision_mismatch_alpha_0.005
high_dependency_linear_20,fixed_base,2294,logreg_l2_c003,0.4727666666666666,0.8178364327134573,logreg_l2_c003,0.4727666666666666,0.8180363927214557,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,2316,logreg_l2_c003,0.4764444444444444,0.7868426314737053,logreg_l2_c003,0.4764444444444444,0.7870425914817036,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,2341,linear_svm_c1,0.4953333333333333,0.5652869426114777,linear_svm_c1,0.4953333333333333,0.5654869026194761,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,2348,logreg_l2_c10,0.4804555555555556,0.7464507098580284,logreg_l2_c10,0.4804555555555556,0.7466506698660268,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,2443,logreg_l2_c003,0.4613777777777778,0.8990201959608078,logreg_l2_c003,0.4613777777777778,0.8992201559688062,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,2565,logreg_l2_c01,0.4778,0.772245550889822,logreg_l2_c01,0.4778,0.7724455108978204,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,2573,linear_svm_c1,0.4735555555555555,0.8120375924815036,linear_svm_c1,0.4735555555555555,0.8122375524895021,True,0.0,0.00019996000799848979,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,2580,logreg_l1_c01,0.4844,0.7016596680663867,logreg_l1_c01,0.4844,0.7018596280743852,True,0.0,0.00019996000799848979,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,2597,logreg_l1_c01,0.4612,0.904019196160768,logreg_l1_c01,0.4612,0.9042191561687662,True,0.0,0.00019996000799826774,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,2692,logreg_l2_c10,0.4781333333333333,0.7668466306738653,logreg_l2_c10,0.4781333333333333,0.7670465906818636,True,0.0,0.00019996000799837876,False,False,False,False,False,False
