scale,dgp,alpha,trigger_regime,design_points,all_bias_signs_equal,coefficient_inverse_B_only,rmse_inverse_B_only,coefficient_inverse_B_joint,coefficient_inverse_n_joint,rmse_inverse_B_plus_inverse_n,relative_sse_reduction_from_inverse_n,log_absolute_bias_vs_log_B_slope,log_absolute_bias_vs_log_B_r2,expected_second_order_slope,B_scaled_bias_cv,same_B_3000_n5000_minus_n3000,same_B_3000_relative_difference,posthoc_exploratory
delta_s,gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,4,True,-6.389254285930152,0.0012612086228550113,-14.097509262512526,7.9895781509101935,0.0011540872151132103,0.16265699385976895,-0.6040599213582578,0.8757992081215049,-1.0,0.31804143985836997,0.0009998311335775996,0.2776406610713494,True
delta_s,gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,4,True,-26.767873299324496,0.001996379588197834,-10.33599289768117,-17.031584065936876,0.0016762451175522642,0.2950004981278278,-1.2639349988547448,0.9981095518242268,-1.0,0.20536513669320633,-0.00037334047568039937,0.056015263873025745,True
delta_s,gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,4,True,-2.574423929234752,0.000809396410837506,-0.2629710613108513,-2.3958124616437506,0.0007948946283365246,0.03551256131048497,-0.4858932068071961,0.9330886958081136,-1.0,0.6369908478922203,0.0017569980995883001,1.2156476399752485,True
delta_s,gain_coupled_k20_max_trigger,0.1,below_all_base_thresholds,4,False,-12.505467287870653,0.0016538419196738948,-4.374576171354129,-8.427638967484278,0.0015643892059777989,0.10525015875060229,-2.0047539130315046,0.8969135900434069,-1.0,0.7679552783864496,0.0006069133813573001,0.17606100937596786,True
delta_s,loss_coupled_k20_max_trigger,0.01,above_all_base_thresholds,4,True,-15.803697144890862,0.0005312379609404476,-15.325905069210792,-0.4952297426756903,0.000530301529059979,0.0035223632666204763,-1.0218178519443886,0.9900352122157061,-1.0,0.1152025570444424,0.0010549820997994997,0.18394951290800657,True
delta_s,loss_coupled_k20_max_trigger,0.01,below_all_base_thresholds,4,True,-77.16872004026175,0.0019631535620147533,-82.53387021278688,5.56095857298224,0.001930965935678661,0.03252293122272043,-1.1045606696748778,0.9832724355401442,-1.0,0.12738738221263463,0.0016391412016847004,0.060221210826425155,True
delta_s,loss_coupled_k20_max_trigger,0.05,above_all_base_thresholds,4,True,-8.230236893036176,0.0004992422948765726,-7.282890555239444,-0.981921021657927,0.0004953129231014515,0.015679394231423838,-1.3175978053686108,0.9908291847475094,-1.0,0.23559954546976497,-0.0005171179735381998,0.21861243841695777,True
delta_s,loss_coupled_k20_max_trigger,0.05,below_all_base_thresholds,4,True,-30.083571564814573,0.00217178708433568,-18.50121464672039,-12.005070674229001,0.0020328560705785586,0.12384938548642033,-1.23367505774086,0.9975841268182406,-1.0,0.20419599121631782,-0.0018279007872066995,0.2388121868657298,True
delta_s,loss_coupled_k20_max_trigger,0.1,above_all_base_thresholds,4,False,-1.8852125558806374,0.0006322805847043237,7.449185239251327,-9.67506924750904,0.0001427242997383958,0.9490462503128173,-1.2002415504329624,0.9672843276351444,-1.0,0.9780472042874326,0.0015264664276095998,2.0,True
delta_s,loss_coupled_k20_max_trigger,0.1,below_all_base_thresholds,4,True,-12.175171615700497,0.0010264809276677841,-24.638487385284627,12.918181308620039,0.0006142199272543571,0.6419480563809357,-1.274697763795738,0.9400681417460608,-1.0,0.36736503102483326,-0.0023893158674951997,0.538797394454663,True
