scale,dgp,alpha,trigger_regime,reference_size,evaluation_size,bridge_rms_to_empirical_sd,sqrt_B_scaled_bridge_ratio,strict_sign_reversal_frequency,locked_threshold,locked_threshold_fail
delta_s,loss_coupled_k20_max_trigger,0.01,above_all_base_thresholds,1000,1000,0.2759915026446196,8.727617632093827,0.0,0.15,True
delta_s,loss_coupled_k20_max_trigger,0.01,above_all_base_thresholds,3000,3000,0.1576628302103707,8.635548858632701,0.0,0.15,True
delta_s,loss_coupled_k20_max_trigger,0.01,above_all_base_thresholds,3000,5000,0.1716876806646428,9.40372155457684,0.0,0.15,True
delta_s,loss_coupled_k20_max_trigger,0.01,above_all_base_thresholds,5000,5000,0.121751760032685,8.609149514050884,0.0,0.15,False
delta_s,loss_coupled_k20_max_trigger,0.01,below_all_base_thresholds,1000,1000,0.4951916938774089,15.65933631049469,0.0905,0.15,True
delta_s,loss_coupled_k20_max_trigger,0.01,below_all_base_thresholds,3000,3000,0.2980216247495529,16.323316649967005,0.0265,0.15,True
delta_s,loss_coupled_k20_max_trigger,0.01,below_all_base_thresholds,3000,5000,0.304875101122618,16.698697010652648,0.0125,0.15,True
delta_s,loss_coupled_k20_max_trigger,0.01,below_all_base_thresholds,5000,5000,0.2201824924540379,15.569253351280603,0.0145,0.15,True
delta_s,loss_coupled_k20_max_trigger,0.05,above_all_base_thresholds,1000,1000,0.12438643705319,3.9334445112124303,0.0,0.15,False
delta_s,loss_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3000,3000,0.0695656871942115,3.8102696104617904,0.0,0.15,False
delta_s,loss_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3000,5000,0.0721827759157734,3.953613463240972,0.0,0.15,False
delta_s,loss_coupled_k20_max_trigger,0.05,above_all_base_thresholds,5000,5000,0.0523010107712952,3.6982399379293502,0.0,0.15,False
delta_s,loss_coupled_k20_max_trigger,0.05,below_all_base_thresholds,1000,1000,0.2520508493987988,7.97054770280286,0.0,0.15,True
delta_s,loss_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3000,3000,0.1445244244023976,7.915928735564326,0.0,0.15,False
