dgp,alpha,trigger_regime,reference_size,evaluation_size,outer_repetitions,observed_delta_pi_bias,nu_centering_component,rho_mu_product_centering_component,outer_covariance_component,reconstructed_delta_pi_bias,delta_pi_decomposition_error,mean_e0,mean_rho,mean_mu,mean_nu,true_e0,true_rho,true_mu,true_nu,observed_delta_s_bias,delta_s_centering_component,delta_s_jensen_component,delta_s_decomposition_error,delta_s_centering_share,delta_s_jensen_share
gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,3000,5000,2000,-9.888636112995695e-05,0.0,-9.891553089000187e-05,2.9169759999808642e-08,-9.888636113000206e-05,4.5102810375396984e-17,0.2029557,0.12264240000000001,0.1165224,0.0,0.2021237,0.1223957,0.1159491,0.0,-0.003101254123988817,-0.0028312995722208356,-0.00026995455176798133,0.0,0.9129531018822904,0.08704689811770962
gain_coupled_k20_max_trigger,0.05,above_all_base_thresholds,5000,5000,2000,-5.5715221129959414e-05,0.0,-5.734965396999962e-05,1.6344328400003105e-06,-5.571522112999931e-05,3.9898639947466563e-17,0.2027459,0.1226617,0.1161652,0.0,0.2021237,0.1223957,0.1159491,0.0,-0.00185341264052441,-0.001662707828468335,-0.00019070481205607503,0.0,0.8971061231123812,0.10289387688761875
gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,1000,1000,2000,-0.0010977910748600165,-0.0007363999999999982,-0.0003567440823600068,-4.646992499988956e-06,-0.001097791074859994,-2.2551405187698492e-17,0.20515000000000003,0.30870749999999997,0.11684100000000003,0.03973,0.2021237,0.3080054,0.1159491,0.0404664,-0.02858199843092421,-0.02781716865529038,-0.0007648297756338296,0.0,0.9732408572660782,0.02675914273392179
gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3000,3000,2000,-0.00024639363041559486,-4.95666666667019e-05,-0.00018939804269332144,-7.428921055548099e-06,-0.00024639363041557144,-2.3418766925686896e-17,0.20302899999999996,0.30826549999999997,0.11646566666666665,0.0404168333333333,0.2021237,0.3080054,0.1159491,0.0404664,-0.006478307303400807,-0.006173191288239899,-0.00030511601516090836,0.0,0.9529018922889415,0.04709810771105853
gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,3000,5000,2000,-0.00026069541486004304,-0.00010079999999999811,-0.00015318897306999812,-6.706441790002571e-06,-0.0002606954148599988,-4.423544863740858e-17,0.202928,0.30835429999999997,0.11631470000000001,0.0403656,0.2021237,0.3080054,0.1159491,0.0404664,-0.006851647779081219,-0.006562710267507654,-0.0002889375115735643,0.0,0.9578294855646666,0.04217051443533336
gain_coupled_k20_max_trigger,0.05,below_all_base_thresholds,5000,5000,2000,-0.00014548931486004554,8.80000000000325e-06,-0.00015153069246000295,-2.758622399998134e-06,-0.00014548931485999783,-4.7704895589362195e-17,0.2026695,0.30794900000000003,0.11646240000000001,0.0404752,0.2021237,0.3080054,0.1159491,0.0404664,-0.003808438641423967,-0.003635505972570563,-0.00017293266885340386,0.0,0.9545922397245857,0.04540776027541426
gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,1000,1000,2000,7.849797160064398e-06,0.0,-3.572374658999955e-05,4.3573543750008437e-05,7.849797160008887e-06,5.551115123125783e-17,0.34457399999999994,0.23115950000000002,0.1459125,0.0,0.3434725,0.2312732,0.1456863,0.0,-0.00210193652457058,-0.0007430950954030457,-0.0013588414291675344,0.0,0.3535287991414765,0.6464712008585235
gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,3000,3000,2000,-7.472553617327016e-05,0.0,-8.795747367331547e-05,1.3231937499996738e-05,-7.472553617331873e-05,4.85722573273506e-17,0.344406,0.2317708333333333,0.14575299999999997,0.0,0.3434725,0.2312732,0.1456863,0.0,-0.0023238176123540066,-0.0018716243503527075,-0.00045219326200129917,0.0,0.8054093145704188,0.19459068542958127
gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,3000,5000,2000,-9.986302839930239e-06,0.0,-1.931108111999369e-05,9.324778279994062e-06,-9.986302839999628e-06,6.938893903907228e-17,0.34351210000000004,0.2310996,0.1458793,0.0,0.3434725,0.2312732,0.1456863,0.0,-0.000566819512765715,-0.0001831613341902738,-0.00038365817857544116,0.0,0.32313872417088146,0.6768612758291185
gain_coupled_k20_max_trigger,0.1,above_all_base_thresholds,5000,5000,2000,-2.6706342839931396e-05,0.0,-3.505046351999497e-05,8.344120680001121e-06,-2.6706342839993846e-05,6.245004513516506e-17,0.34380150000000004,0.23148629999999998,0.1457036,0.0,0.3434725,0.2312732,0.1456863,0.0,-0.0009200642997851949,-0.0006646260819480609,-0.00025543821783713394,0.0,0.7223691671367203,0.2776308328632797
gain_coupled_k20_max_trigger,0.1,below_all_base_thresholds,1000,1000,2000,-0.0007284868667399823,-0.0008944999999999995,0.0001508515070100247,1.5161626249995952e-05,-0.0007284868667399788,-3.469446951953614e-18,0.3454235,0.47265949999999995,0.14544749999999998,0.057501500000000004,0.3434725,0.4729202,0.1456863,0.058396,-0.013572116235457121,-0.012094976980112193,-0.001477139255344928,0.0,0.8911636748670111,0.10883632513298887
gain_coupled_k20_max_trigger,0.1,below_all_base_thresholds,3000,3000,2000,-0.0002038342000733103,-0.00027566666666668793,6.442245426002691e-05,7.410012333328164e-06,-0.00020383420007333286,2.2551405187698492e-17,0.3436768333333333,0.4727223333333333,0.14561099999999996,0.058120333333333316,0.3434725,0.4729202,0.1456863,0.058396,-0.0037506332319721947,-0.0032722152416404526,-0.00047841799033174204,0.0,0.8724434086880376,0.12755659131196243
gain_coupled_k20_max_trigger,0.1,below_all_base_thresholds,3000,5000,2000,-0.00017519140673997666,-0.00032490000000000296,0.0001469895890599815,2.719004200027464e-06,-0.000175191406739994,1.734723475976807e-17,0.3435664,0.47214200000000006,0.14561510000000003,0.0580711,0.3434725,0.4729202,0.1456863,0.058396,-0.003143719850614929,-0.002763466326512365,-0.00038025352410256397,0.0,0.8790434446542098,0.12095655534579021
gain_coupled_k20_max_trigger,0.1,below_all_base_thresholds,5000,5000,2000,4.5248793260021375e-05,3.179999999999156e-05,1.1546069099990786e-05,1.902724160007807e-06,4.524879325999015e-05,3.122502256758253e-17,0.34359649999999997,0.47294970000000003,0.14565280000000003,0.058427799999999995,0.3434725,0.4729202,0.1456863,0.058396,0.0004277760981470924,0.0006868158622772569,-0.0002590397641301645,0.0,1.6055498782007513,-0.6055498782007515
loss_coupled_k20_max_trigger,0.01,above_all_base_thresholds,1000,1000,2000,-0.00013631615339995142,0.0,-0.0001409656534000004,4.649500000000403e-06,-0.0001363161534,4.85722573273506e-17,0.05565150000000001,0.025937500000000006,0.06748,0.0,0.0515189,0.0254382,0.063263,0.0,-0.015544528819974618,-0.015128247041234388,-0.00041628177874022954,0.0,0.973220045228691,0.026779954771309
loss_coupled_k20_max_trigger,0.01,above_all_base_thresholds,3000,3000,2000,-5.57818200666155e-05,0.0,-5.668529089999756e-05,9.034708333341412e-07,-5.578182006666342e-05,4.7921736023859296e-17,0.052938499999999986,0.025612499999999972,0.06504566666666664,0.0,0.0515189,0.0254382,0.063263,0.0,-0.006262663071404884,-0.006124123804832848,-0.0001385392665720353,0.0,0.9778785374540423,0.022121462545957662
loss_coupled_k20_max_trigger,0.01,above_all_base_thresholds,3000,5000,2000,-4.617621339994809e-05,0.0,-4.692992207999962e-05,7.537086799999215e-07,-4.61762133999997e-05,5.160802341031001e-17,0.052884,0.0256003,0.06469559999999999,0.0,0.0515189,0.0254382,0.063263,0.0,-0.005207680971605455,-0.005103151817904106,-0.0001045291537013493,0.0,0.9799278883880775,0.020072111611922423
loss_coupled_k20_max_trigger,0.01,above_all_base_thresholds,5000,5000,2000,-2.5486093399950662e-05,0.0,-2.5698640439999858e-05,2.1254703999997251e-07,-2.5486093399999885e-05,4.92227786308419e-17,0.0523174,0.025455799999999997,0.0642288,0.0,0.0515189,0.0254382,0.063263,0.0,-0.0028990044761988687,-0.002822913090624546,-7.609138557432282e-05,0.0,0.9737525808604157,0.026247419139584328
